C:\intern\sample-data.csv   1 channel (mono)
Sample Rate: 44100 Hz. Sample values on dB scale.
Length processed: 1000 samples 0.02268 seconds.

-62.26779
-50.20987
-51.45343
-51.73792
-50.05605
-45.01792
-42.11630
-46.12934
-64.20078
-53.39027
-50.96778
-43.38380
-44.05553
-66.60527
-43.99039
-46.57489
-64.75388
-49.97757
-56.89265
-48.82036
-43.85601
-45.79476
-50.91536
-52.18367
-60.09490
-55.09948
-49.16017
-46.87540
-47.17283
-59.53830
-56.93625
-55.74667
-62.39152
-56.28024
-67.92490
-73.40723
-63.86616
-63.68357
-58.75984
-58.96953
-54.65867
-47.26846
-46.86688
-59.13903
-65.28941
-63.23144
-43.84218
-39.47242
-42.41215
-58.33672
-72.14744
-46.40815
-39.55221
-38.06946
-43.24897
-69.59058
-63.90831
-48.22722
-41.17675
-41.75678
-52.16937
-49.18414
-54.10867
-51.62081
-45.96108
-48.25895
-62.94353
-54.32861
-59.64544
-49.26048
-49.55497
-50.40065
-49.92089
-49.39641
-50.18295
-54.63943
-52.39605
-44.99365
-42.43539
-44.66875
-52.41621
-66.24685
-49.74288
-42.79114
-41.63159
-46.49433
-64.51181
-56.80343
-59.18781
-47.65680
-48.27324
-63.89910
-47.61097
-48.02796
-59.64244
-54.93399
-60.03001
-51.08115
-46.95388
-50.67806
-83.45386
-58.03654
-72.86664
-52.94037
-51.48926
-51.04959
-50.14120
-52.93361
-54.32378
-54.23432
-50.70517
-47.70626
-47.76805
-50.10047
-57.08288
-50.20577
-43.38826
-42.78165
-46.45143
-53.26751
-54.80829
-46.84815
-43.78821
-47.25474
-52.72067
-57.03557
-53.66366
-48.29459
-47.64286
-49.80089
-58.29913
-62.05414
-51.43771
-45.07697
-44.71295
-56.85197
-63.02219
-52.88706
-43.07364
-41.43800
-47.57386
-66.31590
-80.87519
-44.58192
-39.81784
-43.03060
-55.74310
-58.52930
-50.85034
-41.10220
-42.40093
-51.37461
-55.85760
-60.29008
-51.24510
-47.51482
-52.28465
-58.05397
-53.42757
-57.57040
-86.92243
-59.11478
-58.71487
-66.37750
-59.14890
-55.96217
-91.16287
-49.90882
-46.67973
-48.96860
-62.61042
-64.22930
-57.08017
-45.87177
-42.29099
-44.97703
-54.32376
-69.81780
-48.37254
-40.83685
-41.23807
-48.75243
-63.24621
-67.03700
-43.50289
-39.93821
-44.89871
-60.57554
-57.85926
-44.98985
-39.56098
-41.61854
-56.92275
-51.38277
-53.56012
-40.47663
-39.14621
-44.96486
-68.36085
-56.78331
-49.82431
-42.61103
-44.70024
-54.90777
-59.13704
-64.10403
-53.86598
-47.57731
-47.74860
-49.43352
-71.82439
-48.84830
-55.19149
-52.23824
-47.49470
-58.22923
-51.13780
-53.84611
-47.95452
-42.31236
-47.70582
-60.92077
-55.06822
-47.77808
-41.81218
-46.20375
-54.06131
-46.47204
-61.07815
-42.91042
-44.33098
-48.79247
-39.36561
-41.99357
-62.74519
-64.10121
-43.40550
-37.00456
-37.03614
-43.33370
-51.59524
-44.47748
-38.33400
-37.36587
-40.99278
-45.05186
-44.48903
-41.47016
-41.99304
-45.99188
-49.19720
-48.70492
-46.89809
-51.11254
-60.64561
-60.22142
-56.70998
-68.73104
-52.47090
-54.00024
-61.33429
-53.89952
-60.53763
-59.29021
-64.74592
-52.75580
-48.28493
-51.46840
-62.07992
-57.14350
-51.79965
-53.72670
-58.55198
-52.79911
-45.02429
-42.94657
-49.28012
-58.33511
-68.24406
-43.80070
-40.09644
-45.79758
-51.10249
-50.35185
-44.84149
-37.57617
-40.16868
-58.99450
-49.38071
-52.32951
-38.62333
-38.69267
-46.00570
-77.01394
-51.81902
-41.20648
-39.45230
-42.54386
-46.74775
-46.23103
-45.92111
-47.88915
-50.25951
-47.12813
-43.90169
-46.08140
-62.62804
-62.53095
-52.99076
-44.91613
-45.17331
-60.66634
-52.45289
-64.32444
-46.73900
-43.11635
-49.58908
-61.81035
